@relation posture

@attribute tweet String
@attribute class {Anti-Roseanne,Pro-Roseanne,UncNeut}

@data
"RoseanneBarr",UncNeut
"iAmLoraG therealroseanne that's my ted talk. thanks for joining",UncNeut
" axios therealroseanne realDonaldTrump one racist pig cancelled.. one other racist pig to go..and SC Mueller will... https://t.co/BRPNHOmFTE",Anti-Roseanne
" therealroseanne Bye!",Anti-Roseanne
" JustinUtley Stefanoooch cnnbrk Roseanne deleted over 500,000 tweets before she started promoting her reboot, the... https://t.co/BoMfGY3xfo",Anti-Roseanne
". therealroseanne they were looking for a reason. It's a shame.  ABC cancels 'Roseanne' after Barr's racist tweet https://t.co/jyH3zei74o",Pro-Roseanne
" POTUS_Don45 Melissa89431446 therealroseanne Think before you speak...ABC cancelled her. The right thing to do...... https://t.co/y7fvSC0nm5",Anti-Roseanne
"Yayyyyy! Buh-bye therealroseanne",Anti-Roseanne
"Robert Iger, chairman and chief executive of The Walt Disney Company, on the cancellation of 'Roseanne' on the comp... https://t.co/FYCHmpoPz9",UncNeut
" ryan90_chris FoxNews KevinCate dailybriefing therealroseanne ABC RoseanneOnABC When did a liberal say something racist against Trump?",UncNeut
" AmandaNHardwic1 attridgj CaughtYa164 therealroseanne Holy fuck, learn to spell easy words. Lol",UncNeut
"Dear ABCNetwork thank you for canceling therealroseanne. She has the right to be a bigot if she wants, but you st... https://t.co/e0Cnt0g2c0",Anti-Roseanne
" Glinner You can almost guarantee that Rod Liddle/Taki/Brendan O'Neill are composing their pro Roseanne racism col... https://t.co/POZKyg4T2z",Anti-Roseanne
"BREAKING: ABC cancels Roseanne - https://t.co/5LrwTPHZI9",UncNeut
"Roseanne' Canceled by ABC After Roseanne Barr's 'Repugnant' Comments, Network President Says... https://t.co/4MSIlFURxv",UncNeut
" Toure lol 'toure' has a podcast, and he's in hysterics over the hugely successful and highly-rated, Roseanne. KEE... https://t.co/aFtIWbkh8Y",UncNeut
"So, due to Roseanne being a racist, self-centered Trump supporter, her actions will affect the cast and crew workin... https://t.co/Nm2QeftTue",Anti-Roseanne
"Roseanne",UncNeut
" starofthenight5 therealroseanne I bet you praise the NFL for not covertly blackballing Colin Kaepernick though",UncNeut
"Roseanne innocent!",Pro-Roseanne
"I was a fan of the old Roseanne show now I'll be at peace if I never see another episode never tuned into the reboo... https://t.co/Nl4ohA2B59",Anti-Roseanne
"Surprised they finally cancelled Roseanne considering how she had *always* been a problematic mess",Anti-Roseanne
" therealroseanne https://t.co/TeG3pq3GDw",UncNeut
"Mmmmm not being rude but Sara Gilbert's involvement on Roseanne to make some overly reductive 'see we're just like... https://t.co/BX5aVvNfrd",UncNeut
" CarJoJoe TT45Pac therealroseanne Asshole = A Racist, bigoted, uneducated, ignorant white Trump supporter.",Anti-Roseanne
" Jordan_Sather_ therealroseanne What lie? Did she not tweet what she tweeted? The delusion knows no bounds.",Anti-Roseanne
" emrazz And ABCNetwork cancelled Roseanne!",UncNeut
" intheMatrixxx therealroseanne snopes andersoncooper POTUS George Soros was born in 1930. The war broke out in... https://t.co/T32h1sz3Uh",UncNeut
" mojopo therealroseanne ChelseaClinton OpenSociety What's that? https://t.co/8vD2CnmuP5",UncNeut
"Roseanne",UncNeut
" therealroseanne https://t.co/MqyCercQe0",UncNeut
" therealroseanne You fucked up.",Anti-Roseanne
"Apparently Roseanne is a point guard for the Houston Rockets.",UncNeut
" therealroseanne Glad to see they got her off the air, now she can let her family down off how she was raised. Gone... https://t.co/N6dUTgZ9CX",Anti-Roseanne
"If Roseanne would've won the presidential election when she ran, she would've been just like trump.",Anti-Roseanne
" NoJesusNoPeace1 therealroseanne If anyone is pathetic it's you for throwing away your morals, if you even had any... https://t.co/loBtAUl7fd",Anti-Roseanne
" soonerrick BethB1213 therealroseanne ABCNetwork I'm sure you've heard the news...",UncNeut
" therealroseanne ChelseaClinton OpenSociety Can you please just ride off in to the sunset, therealroseanne, you vacuous, inane numpty.",Anti-Roseanne
"therealroseanne",UncNeut
" THEsaragilbert Her character already has an addiction issue. I say bump her off, work in a name change and keep on... https://t.co/ThkLgwDVQr",UncNeut
"Poor, John Goodman. Out of a job because of therealroseanne's stupid mouth... I had an inkling she would screw this up for herself.",Anti-Roseanne
"RE: Roseanne https://t.co/z7vjHU2sKR",UncNeut
"Roseanne",UncNeut
" juanadamas95 Only4RM iamwandasykes RoseanneOnABC therealroseanne ValerieJarrett Russian Bot",UncNeut
" TedNugent So it turns out Roseanne is just like your everyday Trump fan! Racist human trash :D Ted Nugent, ever si... https://t.co/eRxku2ueRs",Anti-Roseanne
" jemillerwbal Roseanne is nuts.",Anti-Roseanne
"Roseanne",UncNeut
" Gavin_McInnes Chadwick_Moore therealroseanne No need to pretend her intent was clear",Anti-Roseanne
" therealroseanne Take your show to another network",UncNeut
"Roseanne",UncNeut
"I saw this on the BBC and thought you should see it: ABC drops Roseanne show after racist tweet - https://t.co/u6fCL7mhgV",UncNeut
"Roseanne",UncNeut
"On FOX news they are saying that the Twitter by Roseanne should not be related to Trump. He is the reason why it is... https://t.co/Ll28EPJRIF",UncNeut
"I wonder how long it'll take before Roseanne Barr gets a sweet primetime gig on FoxNews",Anti-Roseanne
"I ignore Twitter for a few hours to get work done and come back to find Meltdown May hitting a truly dazzling cresc... https://t.co/fwfW9JZRsV",UncNeut
" realmikepacker Sarah_G_Barker EdKrassen therealroseanne She said something racist af sport. There is a difference",Anti-Roseanne
"One ingnorant ugly cowardly racist down, her bigly fan left to go... 'Roseanne' canceled after star's controversia... https://t.co/7tySsVpune",Anti-Roseanne
" Gedsudski therealroseanne RoseanneOnABC https://t.co/vwO3eCTwXL",UncNeut
"I don't think Roseanne meant that as a racist tweet,but it was construed that way.She apologized. Unfortunately the... https://t.co/5kaueeR6LB",Pro-Roseanne
"Live by the tweet, die by the tweet? 'Roseanne' Canceled by ABC Hours After Racist Tweet by Roseanne Barr https://t.co/2hKg8WoDWH",UncNeut
"BREAKING: ABC Cancels 'Roseanne' https://t.co/V4acWS4DaH via dailycaller",UncNeut
" KAT40811334 therealroseanne Unbelievable!!!",UncNeut
" JoeClowers1 Erick_O_524 SailorDemocracy devdev324 JTMYVA josie41929 therealroseanne This is how he responded... https://t.co/YUXYpTo1Lx",UncNeut
" therealroseanne k bye",Anti-Roseanne
" JUTTAV Amandam2941Lynn GardenGuy82 overthewall1630 soonerrick BethB1213 therealroseanne ABCNetwork Yeah the pos will",UncNeut
"DetailsInside",UncNeut
"Roseanne",UncNeut
" chrixtian_ MarkDice therealroseanne https://t.co/1QehegCNgq",UncNeut
"ABC cancels 'Roseanne' following star's racist tweet https://t.co/mtGCKKP7fy",UncNeut
" TedNugent ABC's Full Statement On Why Roseanne's Show Is Cancelled: https://t.co/4MQIA6XQb1",UncNeut
" therealroseanne https://t.co/MWwDIWeRPH",UncNeut
"Roseanne",UncNeut
